profile_id,first_activity_time,signup_platform,signup_device_model,signup_country_code,acquisition_source
1403515306700829,2017-11-06 2:52:02,Android,samsung SM-G531M,AR,acquisition_source_2
6406990895428708,2017-02-20 18:31:34,Desktop,TC-03___ (LENOVO),US,acquisition_source_2
2984110353691873,2017-11-02 16:05:47,iOS,"iPhone8,1",DE,acquisition_source_2
2317892082592702,2017-07-22 22:38:54,iOS,"iPhone8,1",US,acquisition_source_2
7332451023659148,2017-04-20 16:46:07,Desktop,Satellite C45-A (TOSHIBA),PE,acquisition_source_5
8768764950569381,2017-08-24 14:28:59,Android,asus ASUS_Z010D,TH,acquisition_source_2
4684012656704259,2017-02-01 16:39:55,Android,samsung SM-N900V,US,acquisition_source_2
6353058935442333,2017-04-15 21:00:59,iOS,"iPhone9,1",US,acquisition_source_2
5105197951744755,2017-08-11 6:24:06,Android,samsung SAMSUNG-SM-G925A,US,acquisition_source_3
1777780613612654,2017-03-05 21:20:56,Android,motorola MotoG3,DE,acquisition_source_2
6255752668388568,2017-12-17 12:46:57,iOS,"iPhone4,1",VN,acquisition_source_4
7134277979003476,2017-09-23 11:21:26,iOS,"iPhone8,1",US,acquisition_source_1
1766431563270469,2017-12-23 19:32:44,iOS,"iPhone6,2",IN,acquisition_source_4
8753315018271349,2018-02-12 18:00:28,Android,Xiaomi Redmi 4A,UA,acquisition_source_4
4307366712490089,2018-04-01 12:44:35,Android,samsung SM-G935T,US,acquisition_source_3
6305796742590247,2017-08-16 6:19:28,Android,asus ASUS_T00G,ID,acquisition_source_5
5131862262815455,2017-03-20 22:35:45,iOS,"iPhone8,1",US,acquisition_source_2
7393965232529387,2017-05-16 15:07:39,Android,LENOVO Lenovo K33a42,IN,acquisition_source_2
6150801604285757,2017-11-10 1:45:44,Android,HUAWEI HUAWEI LUA-U23,CO,acquisition_source_2
379271688186437,2017-12-16 17:19:06,Android,Acer T06,CA,acquisition_source_2
6875491831487092,2017-05-15 16:26:01,Android,samsung SM-G532M,MX,acquisition_source_2
8421146181539995,2017-09-01 5:03:53,Android,samsung SM-G610F,IN,acquisition_source_2
1164848004121233,2017-02-05 19:50:29,iOS,"iPhone5,2",GB,acquisition_source_4
3970840368903885,2017-06-08 23:39:38,iOS,"iPhone8,4",US,acquisition_source_3
1272390251312742,2017-08-19 15:28:33,Android,samsung SM-G930F,IL,acquisition_source_2
4250584258576323,2017-10-01 8:47:33,iOS,"iPhone8,1",KR,acquisition_source_4
9.17934E+15,2017-01-16 14:37:15,iOS,"iPhone8,4",BE,acquisition_source_2
7.7119E+15,2017-11-10 3:20:06,Android,samsung SM-G530T,US,acquisition_source_2
9739524614844681,2017-12-28 0:44:16,Android,samsung SM-T560NU,CA,acquisition_source_3
9125404540010119,2017-06-11 1:25:11,iOS,"iPhone9,1",US,acquisition_source_2
3572172110420742,2017-05-23 15:48:46,Android,samsung SM-J320FN,GB,acquisition_source_2
1000152559523812,2017-02-16 23:22:35,Android,samsung SM-G360T1,US,acquisition_source_2
7996588092256054,2017-07-02 21:11:50,Android,HUAWEI EVA-L09,ES,acquisition_source_2
8139569754245281,2017-12-27 15:30:46,iOS,"iPhone7,2",BT,acquisition_source_4
2107775782917558,2019-05-03 17:49:49,Android,DEXP Ixion X355,RU,acquisition_source_2
3830892311793506,2017-01-08 22:33:19,Android,HUAWEI HUAWEI KII-L33,CL,acquisition_source_2
9.40122E+15,2020-04-14 11:48:16,iOS,"iPhone9,4",AE,acquisition_source_3
2824458360337945,2017-11-10 10:01:48,Android,samsung SM-J530Y,ID,acquisition_source_2
7932792936389307,2017-08-29 21:22:25,iOS,"iPhone8,1",GB,acquisition_source_4
6099408959209097,2017-08-30 11:16:29,iOS,"iPhone9,3",AU,acquisition_source_2
9786576309957191,2017-07-09 14:31:35,Android,OPPO A33f,IN,acquisition_source_2
3484142862192584,2017-10-26 11:18:04,iOS,"iPad3,4",GB,acquisition_source_2
9696974040506478,2017-04-02 10:18:02,iOS,"iPhone8,1",RU,acquisition_source_2
1594158228512852,2017-01-12 20:56:49,Android,samsung SM-G920P,US,acquisition_source_3
4179239206906053,2017-09-26 12:39:36,Android,motorola Moto G Play,GB,acquisition_source_3
6161906433874654,2017-07-13 13:27:01,Android,samsung SM-A7100,GH,acquisition_source_2
3946987252171353,2017-12-09 20:24:49,Android,VOTO VOTO V2,IN,acquisition_source_2
3441129767187042,2017-03-12 5:45:17,iOS,"iPhone9,1",US,acquisition_source_2
4154876947538019,2017-10-08 7:17:23,Android,Hisense F20,ID,acquisition_source_2
7966684886100841,2017-07-19 0:02:18,Android,motorola Moto G Play,MX,acquisition_source_2
6022599501033536,2017-08-10 5:17:09,iOS,"iPhone5,2",PH,acquisition_source_2
5436639319563588,2017-11-16 0:49:30,Android,motorola XT1635-01,US,acquisition_source_2
4963740806179677,2017-08-15 0:42:57,iOS,"iPhone5,4",CO,acquisition_source_2
3079975344190128,2017-01-19 4:21:28,Desktop,"iPhone6,1",US,acquisition_source_2
8639294530040611,2017-05-08 6:35:43,Android,samsung SM-G920T,US,acquisition_source_2
3188945638159426,2017-01-07 10:49:38,iOS,"iPad3,4",NL,acquisition_source_3
1575155181780681,2017-05-18 8:02:19,iOS,"iPhone9,3",IT,acquisition_source_2
9.47994E+15,2017-05-07 20:43:39,Android,HUAWEI PLK-L01,ZZ,acquisition_source_2
5975109952638056,2017-10-24 21:47:26,Android,motorola XT1033,BR,acquisition_source_2
9151813614538546,2017-07-06 2:55:56,iOS,"iPad4,1",MX,acquisition_source_2
6902742703944068,2017-05-16 19:53:23,iOS,"iPhone7,2",SK,acquisition_source_2
6456507392027199,2017-10-15 9:09:08,iOS,"iPhone7,2",DE,acquisition_source_2
6384092698698094,2017-07-18 14:38:53,Android,samsung SM-J320FN,ES,acquisition_source_2
702338844971007,2018-01-27 12:13:09,Android,samsung SM-T560,NL,acquisition_source_2
2500658882233755,2017-03-24 21:43:02,Android,samsung SM-G928V,US,acquisition_source_2
1494585821123086,2018-06-22 5:50:30,iOS,"iPhone8,4",US,acquisition_source_2
1337191808447138,2017-05-26 0:02:48,Android,TCL Alcatel_5098O,US,acquisition_source_2
7856024583208817,2017-05-06 19:34:47,iOS,"iPad5,2",US,acquisition_source_2
1025464578535728,2017-11-02 20:53:47,Android,samsung SM-G930V,US,acquisition_source_2
7120894940104889,2017-02-09 14:28:55,Desktop,Inspiron 11 - 3147 (Dell Inc.),AR,acquisition_source_2
1148912137507651,2017-02-18 4:10:02,Desktop,Precision WorkStation T3400 (Dell Inc.),CL,acquisition_source_2
3591566104883763,2017-04-11 1:58:16,Android,kyocera C6740,US,acquisition_source_2
7202450665391022,2017-08-25 13:10:49,iOS,"iPhone6,1",IN,acquisition_source_2
7797456395202796,2017-12-30 19:54:28,Android,samsung SM-G935T,US,acquisition_source_3
6.97045E+15,2017-11-22 7:18:21,iOS,"iPhone6,1",ID,acquisition_source_4
1511928233671511,2017-04-27 3:55:54,iOS,"iPad4,5",US,acquisition_source_2
9105001709765973,2017-05-31 10:50:28,Android,asus ASUS_Z00ED,MY,acquisition_source_2
8201980357314501,2017-11-27 22:06:17,Android,samsung SM-G930V,US,acquisition_source_2
1129264054705383,2017-08-06 19:08:43,iOS,"iPhone9,4",AR,acquisition_source_4
3593355670402654,2017-11-04 22:02:24,Android,samsung SM-G935T,US,acquisition_source_2
906862208357042,2017-02-21 12:36:43,Desktop,"Z97X-Gaming 3 (Gigabyte Technology Co., Ltd.)",HK,acquisition_source_2
6260854455224378,2017-06-16 0:03:41,iOS,"iPhone8,1",US,acquisition_source_2
2306369124090563,2017-10-20 17:57:28,iOS,"iPhone7,2",PH,acquisition_source_3
4284951566146233,2017-11-15 3:25:56,iOS,"iPhone10,4",MX,acquisition_source_2
2205284557081068,2017-12-08 19:11:51,iOS,"iPad2,1",CA,acquisition_source_4
5439851650747405,2017-08-06 10:43:59,Android,HTC HTC Desire 510,GB,acquisition_source_2
812993425048999,2017-03-19 17:17:57,iOS,"iPad4,5",US,acquisition_source_3
773296077206461,2017-12-26 19:05:48,iOS,"iPhone10,6",CA,acquisition_source_3
2390617723175854,2017-01-27 12:04:49,Android,samsung GT-I9506,AU,acquisition_source_2
1253863586056423,2017-07-23 8:47:47,iOS,"iPhone5,2",TH,acquisition_source_5
206261826506470,2017-12-24 17:05:08,iOS,"iPhone8,1",SE,acquisition_source_2
7481724351819893,2017-01-07 17:40:23,Android,samsung SM-G930P,US,acquisition_source_2
9565413671144826,2017-09-05 12:45:08,iOS,"iPhone9,3",GB,acquisition_source_2
2748202125250426,2017-03-28 10:11:45,Android,motorola XT1562,IN,acquisition_source_2
1164207481638954,2018-01-07 16:57:16,Android,motorola Moto G (5) Plus,IN,acquisition_source_5
6519738097718425,2017-07-28 18:44:57,iOS,"iPhone7,2",US,acquisition_source_2
267829165597990,2017-10-05 16:54:06,iOS,"iPhone8,1",US,acquisition_source_2
8097001736974159,2017-06-01 17:38:43,Android,samsung SM-G920F,NO,acquisition_source_3
4440640450665058,2017-12-26 0:37:42,iOS,"iPhone8,2",US,acquisition_source_2
1848722198320802,2017-06-15 9:45:56,iOS,"iPhone9,4",PL,acquisition_source_2
149297865909888,2017-09-10 11:22:34,Android,samsung SM-P355,TH,acquisition_source_2
9257602110173149,2017-09-18 3:07:51,iOS,"iPhone8,1",US,acquisition_source_2
2404410802133353,2017-02-22 17:01:06,Android,LANIX Ilium X210,MX,acquisition_source_2
9412248495749591,2017-02-19 18:27:31,Android,samsung SM-G610F,SY,acquisition_source_2
2628977303716939,2017-10-14 18:29:54,Android,samsung SM-A300FU,PL,acquisition_source_2
3404582966487453,2017-02-20 22:57:46,iOS,"iPhone5,3",US,acquisition_source_1
6668961337891709,2017-06-05 5:18:36,iOS,"iPhone7,1",US,acquisition_source_2
6838093269656729,2017-10-28 15:57:04,iOS,"iPad2,1",CA,acquisition_source_2
5662084420604726,2017-07-22 21:41:44,iOS,"iPhone5,2",GB,acquisition_source_1
6324408859995243,2017-11-18 6:12:20,iOS,"iPhone7,2",AU,acquisition_source_2
2645655079301343,2017-05-06 19:06:19,Android,motorola XT1585,US,acquisition_source_2
556395127146342,2017-12-03 5:43:59,Android,samsung SM-G930V,US,acquisition_source_3
9985866082336956,2017-07-28 23:08:51,iOS,"iPad2,4",US,acquisition_source_2
9284515282098986,2017-02-18 8:09:01,Android,"archos Alba 8""",GB,acquisition_source_2
9164592979414818,2017-04-10 23:47:37,Android,TCT A571VL,US,acquisition_source_3
2698751898740228,2017-01-14 20:42:40,iOS,"iPad4,8",US,acquisition_source_1
6337771002120265,2017-05-08 3:37:15,Android,samsung SAMSUNG-SM-G930A,US,acquisition_source_4
5899198637576372,2017-01-18 16:57:14,iOS,"iPhone5,4",UA,acquisition_source_2
1546199293658479,2017-11-03 11:34:35,iOS,"iPhone8,4",HU,acquisition_source_4
4844067937705642,2017-05-23 8:48:24,Android,motorola XT1068,IN,acquisition_source_3
8582664288552565,2017-03-24 8:35:48,Android,samsung SAMSUNG-SM-N920A,US,acquisition_source_3
4257037634070147,2017-10-15 12:25:25,Android,Xiaomi Redmi 4,RU,acquisition_source_2
1897062219442104,2017-07-09 2:55:05,iOS,"iPhone6,1",US,acquisition_source_2
5756225670821121,2017-07-11 19:36:17,iOS,"iPad3,6",BH,acquisition_source_2
7352066880268506,2017-01-20 15:08:18,Android,samsung SM-N910C,MY,acquisition_source_2
7395065993843565,2017-12-23 14:19:24,iOS,"iPhone6,2",IN,acquisition_source_2
7793785316831305,2017-07-24 14:00:32,Android,HUAWEI HUAWEI VNS-L21,BE,acquisition_source_2
5860402563691682,2018-04-24 13:02:00,iOS,"iPhone6,2",NO,acquisition_source_3
7329047452124041,2018-02-13 2:10:59,iOS,"iPhone7,2",US,acquisition_source_2
7326599545327471,2017-02-12 11:44:46,Android,Xiaomi Redmi Note 3,IN,acquisition_source_2
1678760111685111,2017-07-24 16:32:53,iOS,"iPhone9,3",US,acquisition_source_2
6.94464E+15,2017-04-01 1:58:25,Android,Google Pixel XL,US,acquisition_source_2
578321723229928,2017-06-19 3:57:53,Desktop,HP Notebook (HP),PE,acquisition_source_2
8155947276450972,2017-11-09 14:05:27,Android,OnePlus ONEPLUS A3003,IN,acquisition_source_4
7676808738299657,2017-10-18 1:18:59,Android,samsung SM-N910V,US,acquisition_source_2
8549627138108788,2017-06-30 11:16:36,Android,HUAWEI ALE-L21,DZ,acquisition_source_2
6569563883870114,2017-08-19 5:59:06,Android,samsung SM-G532G,PH,acquisition_source_2
1.77324E+15,2017-11-11 17:31:06,Android,LENOVO Lenovo TAB 2 A8-50LC,IN,acquisition_source_2
5826593212318651,2017-09-10 17:50:51,Android,HUAWEI HUAWEI VNS-L31,ES,acquisition_source_2
432788748194756,2017-08-23 21:43:53,Android,HUAWEI TIT-L01,RU,acquisition_source_2
5345182224225864,2017-03-10 2:52:44,iOS,"iPhone6,1",US,acquisition_source_2
1.95868E+15,2017-10-11 16:42:11,Android,GENERAL MOBILE etab5,TR,acquisition_source_2
240848611760331,2017-08-08 5:16:00,iOS,"iPhone8,4",CN,acquisition_source_2
2119487436437217,2017-08-23 15:16:20,iOS,"iPad5,3",US,acquisition_source_2
6307744106132005,2017-09-22 2:19:21,iOS,"iPhone8,2",US,acquisition_source_2
4706018584254324,2017-04-26 3:25:18,iOS,"iPhone7,2",CN,acquisition_source_2
8813835484820252,2017-10-15 1:05:39,Android,ZTE Z799VL,US,acquisition_source_3
4899633954008141,2017-10-14 19:04:59,Android,LENOVO Lenovo K50a40,IN,acquisition_source_3
997374852030820,2017-03-05 8:59:54,Android,samsung SM-J105B,PH,acquisition_source_2
4209093632514536,2017-03-16 1:15:02,Android,samsung SM-J700M,CR,acquisition_source_5
733272724402871,2018-03-15 4:08:17,Android,Xiaomi Redmi Note 3,IN,acquisition_source_3
4728035020613483,2017-10-30 3:47:47,iOS,"iPhone8,1",US,acquisition_source_2
7343605088118019,2018-06-03 21:15:05,Android,samsung SAMSUNG-SM-G930A,US,acquisition_source_4
4907048251486238,2017-07-08 20:07:35,Android,samsung SM-J500M,CL,acquisition_source_2
1899030135730139,2017-10-12 6:00:02,Android,vivo vivo 1713,IN,acquisition_source_2
6883175319485493,2017-07-07 4:17:36,iOS,"iPhone7,2",US,acquisition_source_3
4082933153093792,2019-08-16 8:24:30,iOS,"iPad5,1",IN,acquisition_source_2
204684294917235,2017-01-09 20:49:45,iOS,"iPhone8,1",US,acquisition_source_2
5.95199E+15,2017-07-30 10:29:35,iOS,"iPad5,1",SG,acquisition_source_3
6.17138E+15,2017-03-01 0:21:52,Android,samsung SAMSUNG-SM-G900A,PR,acquisition_source_2
2176000393281506,2017-10-03 11:08:15,Android,S7 S7,PH,acquisition_source_3
3014889082883202,2017-07-06 18:55:30,Android,motorola Moto G (4),CL,acquisition_source_2
8899819454304847,2017-07-22 6:37:28,Android,samsung SM-J105H,UZ,acquisition_source_2
9571189788394217,2017-01-06 2:11:03,iOS,"iPhone8,1",US,acquisition_source_2
6360831272697417,2017-06-13 8:36:07,iOS,"iPhone7,2",US,acquisition_source_2
7173945272667035,2017-06-19 22:36:17,Android,motorola XT1254,US,acquisition_source_3
7285433638358026,2017-07-24 10:52:43,iOS,"iPhone6,2",NO,acquisition_source_2
7.7487E+15,2017-04-04 0:01:28,iOS,"iPhone7,2",US,acquisition_source_2
6029131683454323,2017-01-22 14:45:52,iOS,"iPhone6,2",RU,acquisition_source_2
7539596816092457,2017-03-11 15:52:40,Android,samsung SM-G530T,US,acquisition_source_2
9603701719172797,2017-08-20 8:46:59,Android,LENOVO Lenovo A328,CZ,acquisition_source_2
4362263777363321,2017-01-02 14:02:12,Android,LGE LG-D855,ZA,acquisition_source_2
6126290602440415,2017-09-19 22:18:55,Android,samsung SM-J327P,US,acquisition_source_3
2249196715648961,2017-11-08 20:03:15,iOS,"iPhone4,1",IT,acquisition_source_2
5127969051339935,2017-09-22 15:51:03,Android,samsung SM-N900T,US,acquisition_source_3
3012885985984737,2017-12-04 10:45:49,Android,motorola Moto E (4) Plus,PH,acquisition_source_2
3819993700742941,2017-09-05 9:49:55,iOS,"iPhone6,2",SG,acquisition_source_2
3608027316687229,2017-05-29 20:34:12,Desktop,samsung SM-T113,US,acquisition_source_2
9918662184721528,2017-05-21 5:45:57,Android,Sony D6653,AU,acquisition_source_3
5741261128201909,2017-10-14 23:49:01,iOS,"iPad6,3",US,acquisition_source_2
1973696410165284,2017-01-10 3:37:08,iOS,"iPad4,4",CO,acquisition_source_2
9940826464795762,2017-07-16 9:13:17,Android,HUAWEI HUAWEI RIO-AL00,RU,acquisition_source_2
8428164138425978,2020-03-31 4:11:55,iOS,"iPhone8,4",NZ,acquisition_source_4
3608307596759571,2017-05-10 13:39:53,Android,LGE LG-K428,US,acquisition_source_3
3370500309351727,2017-09-07 16:43:57,Android,samsung SM-A510F,TR,acquisition_source_4
3433281273227213,2017-08-22 23:36:35,Desktop,"iPhone9,2",US,acquisition_source_2
2.80312E+15,2017-11-15 12:21:59,Android,HUAWEI HUAWEI RIO-L01,IE,acquisition_source_2
5.30366E+15,2017-12-26 10:39:06,Android,samsung SM-G930F,IT,acquisition_source_2
2517828362216524,2017-05-06 14:58:49,iOS,"iPhone7,1",MX,acquisition_source_3
1530425266557566,2017-02-15 13:34:21,iOS,"iPhone8,1",US,acquisition_source_3
4944086181898508,2017-10-10 3:27:40,iOS,"iPad7,4",AU,acquisition_source_2
9959901112512948,2017-06-09 23:21:58,iOS,"iPhone7,2",US,acquisition_source_1
