profile_id,activity_date,songs_played
5177852554665909,2017-01-24,13
7671323422581208,2017-04-06,177
7671323422581208,2017-04-23,142
3995010587137472,2017-04-11,11
4544702155113555,2017-03-17,1
6167389593264069,2017-11-22,1
6167389593264069,2017-11-01,1
8183153628804617,2017-01-07,1
3436477865179968,2017-09-04,5
8847599742895191,2017-01-04,1
2457555447207546,2017-11-18,2
3519817553553501,2017-10-10,12
1650096936548197,2017-05-25,20
303035268638260,2017-07-06,2
303035268638260,2017-05-07,28
6018213734643258,2017-12-14,1
7477299988448876,2017-01-03,1
9476434159872399,2017-05-30,1
3045149196253297,2017-01-31,1
6320353116165752,2017-08-31,1
6839669159618062,2017-06-28,70
6839669159618062,2017-07-25,14
7945846041502924,2017-11-08,36
2766317580728133,2017-08-07,1
6261329166802877,2017-06-08,24
2961323950253561,2017-08-19,46
437062825617191,2017-10-12,1
8942663445930901,2017-12-03,8
6171951845802635,2017-12-02,1
6122411521647609,2017-07-30,35
4992447661808482,2017-10-08,1
8422746446087383,2017-08-17,1
5642758775584891,2017-08-14,30
5642758775584891,2017-05-18,14
8851150981817169,2017-08-15,1
9546529759256845,2017-09-21,19
7303879185180334,2017-04-04,1
3005655009511924,2017-06-26,1
3099135369868268,2017-03-16,1
636226974505201,2017-06-14,26
2.77807E+15,2017-11-29,15
3559788713619044,2017-12-30,1
5987790939704301,2017-08-28,3
4905207319895557,2017-06-15,1
9443564878000051,2017-12-21,30
1695757343280018,2017-06-11,24
6205073117767613,2017-03-15,1
8824978719781416,2017-05-04,1
6317517388015774,2017-07-20,1
1528785389584209,2017-10-29,1
8346521295722715,2017-12-05,5
8346521295722715,2017-11-19,25
8119541010907651,2017-12-31,1
5356900933959585,2017-06-07,10
8293208541251438,2017-08-22,11
2531217271463906,2017-05-15,1
1929779717220872,2017-11-29,2
4300836041809669,2017-05-26,1
6519738097718425,2017-08-01,17
6519738097718425,2017-08-13,33
8951722762956466,2017-10-29,3
5073704565217038,2017-08-12,1
6281362208006743,2017-11-28,1
7584428923804412,2017-02-19,1
5040657520340585,2017-12-06,1
7.28345E+15,2017-12-19,148
9709579716193697,2017-09-19,33
3597450595281892,2017-03-27,1
1685324747930265,2017-11-23,9
5094738947791354,2017-12-26,17
3378458489734629,2017-09-26,1
5677885226767924,2017-09-11,1
8138726534897639,2017-08-13,1
2943548458833099,2017-09-28,1
2028686021578824,2017-06-05,1
6.22624E+15,2017-12-02,1
6971550747330882,2017-01-09,1
4588269520912735,2017-06-15,18
4588269520912735,2017-07-21,53
4588269520912735,2017-04-27,22
7265577471088231,2017-09-02,28
7265577471088231,2017-09-04,49
7265577471088231,2017-09-01,1
1213308625308187,2017-12-12,5
1213308625308187,2017-12-11,14
7671323422581208,2017-03-29,1
3971347322732119,2017-03-29,9
8277236275356495,2017-07-25,21
6668961337891709,2017-06-21,3
6668961337891709,2017-06-25,23
2453636719809212,2017-11-04,1
6167389593264069,2017-10-27,6
2.2176E+15,2017-11-30,17
754592180344145,2017-06-23,2
204859290284425,2017-12-15,4
2843214005276261,2017-07-04,17
3.49378E+15,2017-03-12,5
4945190134985859,2017-08-14,15
6914861702470324,2017-01-23,8
4691731414758029,2017-10-23,4
2540707855862907,2017-07-06,1
8422393171748634,2017-03-29,23
6691345621685932,2017-10-17,9
8.31843E+15,2017-01-27,1
4399186807042291,2017-08-05,1
2846852795012455,2017-03-09,1
8834546321600064,2017-07-21,1
6018213734643258,2017-12-22,43
4115473953180868,2017-06-29,8
657110873211469,2017-04-22,58
2852923614101609,2017-01-22,6
1152669772484965,2017-04-04,1
7606360401938019,2017-05-10,25
9078268551385669,2017-05-26,1
4523295286098415,2017-01-16,4
4281681065107983,2017-07-29,58
4281681065107983,2017-08-07,48
6238238778486068,2017-10-09,8
8065022651506905,2017-01-11,1
2507731612135823,2017-03-22,10
6683220763331125,2017-09-22,18
956544446959365,2017-12-23,3
4886910437578776,2017-04-28,10
3120477559670068,2017-07-07,1
4624455042572496,2017-12-27,1
4155297211720181,2017-10-04,1
4155297211720181,2017-09-21,23
9165761511532709,2017-06-18,27
2296038956752517,2017-01-28,1
628701044593894,2017-09-19,10
3.73682E+15,2017-10-01,1
5355626913093818,2017-07-01,1
3295386875830828,2017-12-30,1
2103167610151209,2017-05-01,1
7607844259368638,2017-12-26,1
7927152653037003,2017-02-06,1
9446145362559888,2017-01-17,3
1824621671153328,2017-05-07,36
3126998684860418,2017-01-25,10
8178176076347593,2017-08-16,1
2822264871627051,2017-08-17,21
5590555867103385,2017-12-10,1
2961323950253561,2017-07-02,20
137417103468562,2017-06-14,1
2538840557655461,2017-02-17,4
2010590574147267,2017-04-02,1
2.07074E+15,2017-05-11,6
1229858323657713,2017-07-08,1
3963607425189681,2017-03-26,5
8430954386907177,2017-11-18,9
1062834903821841,2017-02-07,79
1062834903821841,2017-02-06,59
1104627084912793,2017-08-31,4
2988634100202763,2017-05-04,218
4653240704562177,2017-08-11,12
9145511507523719,2017-12-05,11
7.53968E+15,2017-02-11,1
2723895987177085,2017-03-17,1
7427411650959046,2017-05-16,2
1.90526E+15,2017-07-05,20
970472145125393,2017-11-19,1
970472145125393,2017-11-20,1
2393465496945429,2017-10-08,1
9057157870887426,2017-02-14,18
1166500464195038,2017-04-23,1
4609563815444978,2017-09-15,1
7222557282242286,2017-05-26,8
2798850584677297,2017-11-28,7
2798850584677297,2017-10-27,1
9683381081745952,2017-01-26,1
5020244338104647,2017-04-22,1
5020244338104647,2017-05-15,1
9.37183E+15,2017-02-23,1
439425316430992,2017-05-04,1
8512143349698792,2017-06-24,1
2311880908787979,2017-02-19,18
2311880908787979,2017-02-13,12
153681317428096,2017-06-23,1
5642758775584891,2017-05-09,4
5642758775584891,2017-10-17,41
5642758775584891,2017-11-08,96
4450030064420431,2017-12-28,1
9.87182E+15,2017-12-31,2
8750686252738228,2017-01-31,1
3146387334277162,2017-07-15,1
4343713923584691,2017-12-11,14
6590764396898917,2017-04-26,1
1353201982878184,2017-09-28,1
4876264468549145,2017-03-10,1
5953696861390384,2017-03-20,103
138998029690216,2017-08-19,7
138998029690216,2017-07-31,7
138998029690216,2017-09-13,1
1623952227573495,2017-06-13,1
1177151695618648,2017-07-20,17
9393362022554079,2017-04-18,1
9546529759256845,2017-10-08,17
3104260950656235,2017-07-19,1
2823113200873777,2017-05-29,38
2823113200873777,2017-06-12,31
3806416526570399,2017-12-06,23
8605856097340384,2017-02-20,14
2919369418199768,2017-08-04,8
5762525775956497,2017-08-31,1
9264974237052663,2017-01-15,1
7.28345E+15,2017-12-20,118
953654891681829,2017-10-11,41
7672822919005338,2017-03-12,4
919444706089967,2017-03-30,6
5715524552927897,2017-07-28,21
2505264637200042,2017-03-17,21
6683220763331125,2017-09-23,24
2.29458E+15,2017-07-14,1
3160412598051918,2017-06-09,31
7746578209879944,2017-01-26,5
261224287050828,2017-03-16,36
2103167610151209,2017-05-08,3
7927152653037003,2017-01-30,4
7927152653037003,2017-01-15,1
1899956004274405,2017-03-09,3
3.79182E+15,2018-01-01,1
8430954386907177,2017-10-01,14
5857114991481921,2017-09-08,4
5129195945890631,2017-07-28,1
2988634100202763,2017-06-10,28
9145511507523719,2017-11-02,17
1896598309808549,2017-05-12,43
9057157870887426,2017-02-08,26
1002742352238754,2017-03-06,1
9.91693E+15,2017-01-09,12
2311880908787979,2017-03-15,8
2311880908787979,2017-07-14,12
5642758775584891,2017-10-26,94
5642758775584891,2017-03-16,46
5642758775584891,2017-05-04,44
5642758775584891,2017-03-22,42
5642758775584891,2017-01-30,11
4450030064420431,2017-12-30,12
6489461218413418,2017-06-08,7
4032364602871537,2017-07-29,1
8212380710423576,2017-09-06,1
4343713923584691,2017-12-20,20
4343713923584691,2017-12-16,17
9618330251440699,2017-11-15,19
138998029690216,2017-07-26,10
1177151695618648,2017-04-08,26
9546529759256845,2017-09-17,38
9546529759256845,2017-09-11,37
9546529759256845,2017-09-20,47
6514490583091287,2017-12-16,4
9728343399368712,2017-05-24,1
9728343399368712,2017-08-08,14
9522023083126225,2017-10-09,1
3937123702962875,2017-02-10,1
6.95474E+15,2017-02-17,20
6.95474E+15,2017-02-14,28
684372720540896,2017-07-19,1
9451348933614443,2017-08-03,1
8608726016446603,2017-05-31,1
5138902709310007,2017-08-04,1
6.95474E+15,2017-03-05,77
7296922492843013,2017-05-07,2
3116263561795073,2017-12-04,21
3116263561795073,2017-12-02,15
9569282412035191,2017-01-11,1
2468135795793098,2017-09-18,2
2835098304015462,2017-01-05,4
2.92511E+15,2017-08-07,1
1204262225346157,2017-04-02,11
7029985929956358,2017-01-27,14
5010963398228888,2017-06-18,9
2249062958530734,2017-07-08,1
6989566601209887,2017-08-26,25
1593342137796804,2017-12-09,1
6490482068282508,2017-08-23,23
6490482068282508,2017-08-28,3
6149488336614777,2017-12-06,31
5889671106047805,2017-05-18,8
4868113193021561,2017-07-04,14
4868113193021561,2017-07-05,8
4868113193021561,2017-09-12,3
2255715744684239,2017-05-12,1
2255715744684239,2017-09-03,6
2255715744684239,2017-10-01,1
4075478994647099,2017-05-12,8
5509710590994691,2017-09-23,58
5509710590994691,2017-03-30,15
1922474758492243,2017-10-19,59
8.88964E+15,2017-03-01,1
8.88964E+15,2017-04-17,13
9.10645E+15,2017-10-17,10
6447495392147254,2017-08-30,4
8745461004628351,2017-09-06,27
8745461004628351,2017-11-24,7
4548667559186287,2017-11-14,28
4596160446754759,2017-04-17,8
8612307348844613,2017-10-29,1
7582648889858936,2017-11-16,8
9901373439608879,2017-09-22,4
2095984193814157,2017-12-18,1
631789420195591,2017-10-23,1
4121365764456863,2017-09-30,1
7582648889858936,2017-11-14,7
1660246731830792,2017-10-04,4
7.15471E+15,2017-04-30,32
6356534022307484,2017-11-14,57
5721920342661178,2017-12-23,6
2849554111175918,2017-12-13,15
3.0619E+15,2017-10-11,4
9961565585138012,2017-08-31,1
9961565585138012,2017-08-29,14
9961565585138012,2017-11-16,14
9961565585138012,2017-11-15,26
9961565585138012,2017-07-21,5
2606530797890387,2017-11-27,1
7245623343824059,2017-08-30,40
7245623343824059,2017-08-28,28
7245623343824059,2017-09-07,19
2439909780256506,2017-04-28,1
267208430247423,2017-12-20,35
8205201817858768,2017-04-26,8
8205201817858768,2017-04-28,1
1234570947542758,2017-10-10,20
1234570947542758,2017-10-27,18
1234570947542758,2017-12-21,7
1234570947542758,2017-11-08,21
1234570947542758,2017-11-02,18
3988589762318815,2017-06-11,1
3259398429028775,2017-11-22,55
5813952848732518,2017-07-02,17
2008241437060071,2017-02-17,1
6281806296512367,2017-09-08,19
9.41837E+15,2017-09-05,18
9961565585138012,2017-07-25,16
7593305355753707,2017-03-17,1
3757291157632395,2017-05-26,13
1234570947542758,2017-11-03,25
5.53693E+15,2017-10-13,15
3410039689927055,2017-11-24,18
5763270734337364,2017-08-17,6
7.8762E+15,2017-10-25,1
575493614954497,2017-11-30,25
575493614954497,2017-09-19,14
8929306775119776,2017-03-15,36
4339669807994946,2017-02-05,1
2765307272002272,2017-10-26,14
1727607711759342,2017-11-29,35
4115340101906569,2017-04-03,9
6781945972272193,2017-05-17,11
779289226903425,2017-07-09,1
779289226903425,2017-07-07,1
4556769296898133,2017-01-04,1
3774972222964206,2017-05-30,18
1005963502402829,2017-01-15,45
7806990632771098,2017-03-26,1
6640494818194821,2017-03-19,3
4292547025990876,2017-09-12,12
4292547025990876,2017-03-12,237
4292547025990876,2017-05-10,4
4292547025990876,2017-08-06,159
4292547025990876,2017-05-28,133
4292547025990876,2017-01-08,7
4292547025990876,2017-04-10,137
4292547025990876,2017-11-04,24
4292547025990876,2017-06-05,288
4292547025990876,2017-07-08,46
4292547025990876,2017-09-22,47
4292547025990876,2017-06-26,6
6.41577E+15,2017-10-01,1
4381538962390485,2017-07-27,1
4292547025990876,2017-06-14,273
4292547025990876,2017-05-12,56
3964060650264021,2017-10-29,8
2343606828936686,2017-02-27,3
2343606828936686,2017-02-25,1
2208984630997369,2017-05-19,1
8723588313997712,2017-07-20,22
8723588313997712,2017-07-09,34
8723588313997712,2017-06-19,1
9530965680107479,2017-09-05,36
54824524391817,2017-01-02,1
9743821913336644,2017-11-16,1
6147970655725353,2017-10-07,14
3131733457388901,2017-04-15,8
3276417385203742,2017-10-29,1
1234872772469593,2017-03-12,1
3705109742806792,2017-08-12,1
312141734143839,2017-07-14,130
7621147198708209,2017-04-18,1
1591376867436561,2017-07-10,25
6265189307056073,2017-10-17,1
4819842745253386,2017-09-03,1
2.88407E+15,2017-05-05,1
9364056644404622,2017-08-29,1
7103001066501338,2017-01-08,4
1909867684580149,2017-06-14,23
2188391857667225,2017-12-28,1
5712147203339027,2017-01-11,19
1526771876697784,2017-11-06,1
7.60272E+15,2017-07-17,1
3355633258591462,2017-11-20,11
3798079088928019,2017-03-29,2
3450239527155163,2017-08-01,42
4427146786515676,2017-12-11,85
9476432928720233,2017-04-07,10
420568401487977,2017-12-29,5
9096689266518716,2017-10-12,1
453308375200013,2017-09-10,14
2225678330458333,2017-10-07,1
3754785606057316,2017-11-14,20
6270741973511326,2017-11-09,17
6270741973511326,2017-08-13,17
6270741973511326,2017-09-05,57
6270741973511326,2017-09-04,84
6270741973511326,2017-10-04,48
6270741973511326,2017-09-13,16
6270741973511326,2017-09-12,8
6270741973511326,2017-10-27,9
6270741973511326,2017-09-06,54
1586807884337621,2017-01-04,25
6968246530791155,2017-08-05,1
582672978644692,2017-05-20,3
1743289938637224,2017-02-18,1
3044257126264694,2017-08-24,38
3588475860454789,2017-05-07,18
2377088300093523,2017-12-01,24
6072404379558852,2017-12-06,1
4626432140995584,2017-05-05,29
9498298436383784,2017-12-23,4
9155009610445183,2017-02-19,10
9155009610445183,2017-01-17,3
1467784217858385,2017-12-26,1
6384917931660854,2017-07-31,1
1270778910425803,2017-02-12,39
7613345638388938,2017-02-11,1
6677574673822575,2017-07-05,67
6677574673822575,2017-07-07,47
6677574673822575,2017-07-03,1
9450270360096253,2017-07-04,1
9450270360096253,2017-07-02,44
9450270360096253,2017-06-17,22
519454598301719,2017-12-04,1
5209108404409465,2017-04-23,2
709355588544572,2017-12-24,1
4665552415995443,2017-10-08,1
6149229429998223,2017-09-20,28
6149229429998223,2017-09-19,30
6.76977E+15,2017-04-10,144
6.76977E+15,2017-05-24,25
6.76977E+15,2017-06-11,26
6.76977E+15,2017-03-07,1
6.76977E+15,2017-04-18,62
6.76977E+15,2017-05-14,18
9208223496908327,2017-02-27,1
7064222700957419,2017-12-18,23
360590210865055,2017-11-28,12
4.49237E+15,2017-12-08,6
2164101748923817,2017-01-08,1
2164101748923817,2017-01-15,19
49702267068587,2017-12-16,1
1287210176753365,2017-01-19,6
5638018963463116,2017-06-03,1
8892556732268666,2017-10-21,24
6074465160189411,2017-08-15,1
9544773720161941,2017-07-18,13
4883046629162486,2017-04-18,1
461062454364005,2017-10-18,27
461062454364005,2017-11-13,16
7189262537121269,2017-09-05,73
7189262537121269,2017-08-20,82
7189262537121269,2017-09-02,78
7189262537121269,2017-11-30,10
7189262537121269,2017-12-09,47
5759754282098408,2017-06-12,1
2680447857185059,2017-07-24,36
765696462644653,2017-02-20,3
490228954742677,2017-08-24,3
7289090361658432,2017-12-31,17
2152318711028206,2017-04-01,28
422610640854178,2017-08-31,6
9985094953437258,2017-04-11,1
131391514152463,2017-04-15,1
9210633845700359,2017-06-04,1
7114322444576723,2017-07-25,1
5542330058113447,2017-05-02,1
7162692098999987,2017-10-22,39
7162692098999987,2017-11-05,23
6.86702E+15,2017-04-19,1
2334725556738362,2017-07-06,1
1407963733364836,2017-08-15,7
5.94463E+15,2017-12-13,89
159782211789448,2017-05-25,1
629999956675929,2017-03-20,38
2111939204972237,2017-01-10,1
1966595355530456,2017-01-22,16
4618969620335127,2017-10-31,1
2261411910889717,2017-12-11,5
5614920585177856,2017-03-10,227
5614920585177856,2017-04-03,88
8171840223158946,2017-06-17,2
9378511591924229,2017-07-04,2
7936554086048478,2017-10-19,1
9413342635530666,2017-03-29,17
9413342635530666,2017-03-22,1
9413342635530666,2017-04-19,13
6577024669862071,2017-02-05,8
9963408709598468,2017-10-24,1
5006381088065656,2017-02-09,21
5006381088065656,2017-03-31,14
5006381088065656,2017-03-18,18
5006381088065656,2017-02-17,16
5645136536658418,2017-04-02,1
968164026285298,2017-12-25,1
1013276280473846,2017-05-27,1
8896642427456532,2017-04-23,19
1835873028905924,2017-08-12,1
3793805866146187,2017-11-05,132
3603803327148799,2017-06-29,18
2226813277224978,2017-04-24,18
2226813277224978,2017-04-19,23
2226813277224978,2017-05-20,16
3319767241134388,2017-10-11,1
3790268589932524,2017-02-15,19
3790268589932524,2017-02-07,20
9556457264022396,2017-10-30,1
6002056543356638,2017-08-03,22
430391953635411,2017-06-23,1
4940298362513889,2017-06-07,1
8745758015539265,2017-10-04,1
2252465484493066,2017-01-10,1
165953573492418,2017-03-14,20
165953573492418,2017-03-16,24
5116419669020831,2017-09-23,11
2406985015960335,2017-10-18,1
2406985015960335,2017-10-24,2
4379524675708107,2017-04-09,1
8382577197528714,2017-08-01,6
5816930563639687,2017-04-11,32
9602260554809947,2017-08-10,31
4034630909728073,2017-12-26,34
3068130184067752,2017-01-26,1
2873910096070246,2017-12-20,1
2.26276E+15,2017-04-07,25
2.26276E+15,2017-04-06,22
1017671236921961,2017-06-15,1
9855893553316586,2017-10-07,29
1544338984214955,2017-01-16,3
9.81044E+15,2017-09-03,22
9.81044E+15,2017-07-09,55
5409132164718332,2017-07-10,1
6397852128801439,2017-09-21,1
230595270236721,2017-07-11,1
9726240927088844,2017-02-21,17
2.71182E+15,2017-10-10,1
7537251783458639,2017-04-18,1
1.93976E+15,2017-03-20,8
5965186275009762,2017-08-13,20
9923357941576026,2017-07-11,1
8280251622317448,2017-05-20,4
9784214977674072,2017-12-10,85
9784214977674072,2017-12-18,45
9784214977674072,2017-11-06,212
7.4941E+15,2017-06-28,7
6949468512779819,2017-06-15,10
4895297214848875,2017-10-28,1
9795288116246169,2017-09-05,1
5849906845639283,2017-05-11,22
4119649360264342,2017-09-09,27
6097826835767701,2017-12-12,19
5671992176944974,2017-04-22,6
9075155088280581,2017-04-22,3
9349316515873239,2017-10-26,34
7544036667193255,2017-06-23,11
8602538889696169,2017-03-15,36
8602538889696169,2017-03-17,65
508240974561073,2017-01-13,1
4074322307252434,2017-11-24,32
2.29864E+15,2017-03-13,1
1861871341258617,2017-01-16,1
49136731634620,2017-07-02,1
4139949641572775,2017-05-04,1
7.05144E+15,2017-07-15,1
5353605943884801,2017-05-21,1
5509710590994691,2017-02-20,24
8205201817858768,2017-06-13,5
4292547025990876,2017-10-15,50
4292547025990876,2017-09-09,68
5371497613870558,2017-10-07,1
8723588313997712,2017-07-28,24
6689967409309975,2017-03-16,1
7702776658857114,2017-10-08,1
6270741973511326,2017-10-18,10
2377088300093523,2017-11-26,3
4626432140995584,2017-05-22,19
1270778910425803,2017-01-03,1
9450270360096253,2017-07-15,6
5466927087126901,2017-12-04,1
7064848626568213,2017-01-03,1
7420256241391915,2017-11-21,1
6.76977E+15,2017-03-21,191
9.58188E+15,2017-11-08,18
6680006727218192,2017-11-03,22
3705495243482488,2017-06-29,2
7189262537121269,2017-09-15,54
1044275143011041,2017-09-20,1
6255654492829704,2017-06-18,1
5.60191E+15,2017-05-17,1
7024839703286008,2017-10-29,39
2008103675856055,2017-12-31,1
5755384608678897,2017-06-22,1
9717558105717307,2017-09-15,16
2234030170665301,2017-08-05,1
8750657873457041,2017-02-08,17
2.59208E+15,2017-06-30,1
2226813277224978,2017-04-21,51
3319767241134388,2017-09-21,7
8227037739313922,2017-09-05,1
741190186444848,2017-03-27,1
3963981904036446,2017-06-21,1
5026964223762868,2017-09-06,1
5116419669020831,2017-09-17,1
3.31989E+15,2017-10-28,1
4220320663845866,2017-09-19,6
2934468397164131,2017-08-24,2
9.81044E+15,2017-09-07,20
6349866650098573,2017-05-29,1
9227943354178505,2017-05-14,4
4247111396134829,2017-12-25,1
498426479412765,2017-05-15,1
9005987931751836,2017-12-02,12
5965186275009762,2017-06-11,7
4869632464472401,2017-03-28,38
4869632464472401,2017-04-04,11
4121305819756858,2017-07-28,1
7275071826406068,2017-12-12,1
7310498774502427,2017-04-26,20
2.45439E+15,2017-12-25,32
223380696431616,2017-12-11,22
4238416191930004,2017-10-07,1
9225582454212121,2017-07-16,4
4931654267019264,2017-03-20,1
630597961739690,2017-12-28,6
6097826835767701,2017-11-29,22
5671992176944974,2017-08-29,20
7544036667193255,2017-06-24,4
8602538889696169,2017-03-27,19
6.76977E+15,2017-04-25,235
7284305398437385,2017-11-23,1
6660493912577002,2017-07-25,1
7226095247094734,2017-07-04,1
4.52002E+15,2018-04-30,1
9385637999007092,2017-05-15,23
2523149036733136,2017-09-29,13
2523149036733136,2017-09-09,1
5297786596069772,2017-06-25,51
9385637999007092,2017-05-08,43
2523149036733136,2017-09-15,9
2523149036733136,2017-03-13,3
2523149036733136,2017-09-14,17
3.50479E+15,2017-04-19,17
4452715800586726,2017-06-20,17
1636418130659386,2017-08-26,1
8029088068569435,2017-12-05,4
6.67491E+15,2017-01-29,85
2225457729322935,2017-10-10,28
5297786596069772,2017-11-06,12
6.54203E+15,2017-08-18,7
3642168796244101,2017-02-02,22
3.71734E+15,2017-07-14,1
6.67491E+15,2017-09-23,1
6.67491E+15,2017-01-26,22
3428506179884045,2017-07-11,1
4244425934575005,2017-04-25,9
767585326410322,2017-10-10,11
767585326410322,2017-10-18,10
767585326410322,2017-11-19,5
767585326410322,2017-10-03,1
767585326410322,2017-10-24,17
5846055899735969,2017-07-01,12
5846055899735969,2017-10-25,1
9406496813276244,2017-12-08,22
9406496813276244,2017-12-23,5
9406496813276244,2017-12-06,11
9952891973944075,2017-01-05,3
3853787730560433,2017-01-13,1
561526446887404,2017-07-19,9
561526446887404,2017-07-14,13
4271522638993715,2017-02-02,1
6712201596537166,2017-04-16,8
7624810151380849,2017-09-30,15
6626364299063063,2017-02-08,7
7271824723246285,2017-12-20,3
6712201596537166,2017-04-04,1
4125519111190074,2017-12-22,51
4125519111190074,2017-11-26,62
3974870084212264,2017-04-10,1
7343800552062886,2017-10-11,21
6500735167307321,2017-06-26,2
7263679883618005,2017-09-30,10
2998518212958128,2017-01-21,1
2675948570676945,2017-04-26,31
3023737441100107,2017-07-11,1
7405884663515624,2017-02-27,1
8037946163061765,2017-02-03,1
5.11186E+15,2017-05-27,2
8328131496280391,2017-10-26,15
8328131496280391,2017-12-12,5
784962609730939,2017-02-28,1
784962609730939,2017-03-01,4
6537621709559474,2017-10-19,32
6537621709559474,2017-10-18,41
7.82691E+15,2017-06-28,9
7705908829763997,2017-11-09,1
9629874252508854,2017-01-10,1
6951536126886226,2017-10-12,1
8311565913332948,2017-01-04,1
4054503847173917,2017-05-27,23
7463192107541678,2017-01-06,1
9655328707543839,2017-12-24,1
4295912020156795,2017-07-17,1
3134206025675709,2017-01-05,1
2846352824236544,2017-06-04,22
2846352824236544,2017-06-02,1
2.41556E+15,2017-01-30,8
